,open,high,low,close,volume
2021-11-29,199.5,209.5,194.9,205.5,810923.688
2021-11-30,205.5,219.9,197.4,207.8,1032919.457
2021-12-01,207.8,217.8,205.1,208.8,674057.314
2021-12-02,208.7,210.1,199.9,203.5,562121.73
2021-12-03,203.5,208.1,179.3,188.0,825086.4
2021-12-04,188.0,189.3,129.3,162.7,2758066.76925
2021-12-05,162.7,165.0,148.0,156.3,1075867.598
2021-12-06,156.3,164.5,141.3,161.3,1097434.113
2021-12-07,161.3,165.8,158.2,161.8,672241.01
2021-12-08,161.8,170.3,155.8,165.1,890527.252
2021-12-09,165.2,167.1,151.1,151.3,648228.982
2021-12-10,151.4,159.8,147.5,148.3,704610.428
2021-12-11,148.4,159.5,145.7,158.0,558649.677
2021-12-12,158.0,162.9,153.2,159.0,382460.669
2021-12-13,158.9,159.9,142.7,144.6,628722.159
2021-12-14,144.6,151.9,142.9,150.4,511641.769
2021-12-15,150.3,155.0,141.7,153.6,611833.278
2021-12-16,153.5,156.7,148.5,148.9,434853.361
2021-12-17,148.9,150.3,141.2,144.1,472455.023
2021-12-18,144.1,150.3,142.8,148.6,300448.219
2021-12-19,148.6,161.1,147.6,153.2,738406.682
2021-12-20,153.2,157.4,145.2,152.6,550918.769
2021-12-21,152.7,156.4,149.1,154.7,375493.205
2021-12-22,154.8,160.2,152.9,155.4,414964.85
2021-12-23,155.4,165.2,153.0,163.6,521673.021
2021-12-24,163.6,166.8,160.1,161.2,411411.856
2021-12-25,161.2,163.6,157.3,157.8,456068.094
2021-12-26,157.8,158.4,152.6,155.7,887961.059
2021-12-27,155.8,161.3,154.4,155.9,464363.98
2021-12-28,155.9,156.0,144.5,145.7,679901.014
2021-12-29,145.6,151.0,143.9,145.5,444947.628
2021-12-30,145.5,150.0,142.7,148.0,318121.046
2021-12-31,147.9,152.7,143.7,146.3,344892.41
2022-01-01,146.2,151.0,146.1,150.8,225155.54
2022-01-02,150.8,153.4,147.8,151.2,228350.087
2022-01-03,151.1,151.2,146.0,148.5,291038.873
2022-01-04,148.4,151.7,145.2,146.5,331705.663
2022-01-05,146.5,150.0,129.8,135.4,601964.057
2022-01-06,135.3,138.1,132.4,135.9,531427.357
