,open,high,low,close,volume
2021-04-15,0.9999,1.0002,0.9984,0.9992,1813896996.21
2021-04-16,0.9991,0.9999,0.996,0.9987,3215647989.72
2021-04-17,0.9987,0.9999,0.9984,0.9992,1914039998.2
2021-04-18,0.9993,0.9996,0.97,0.9981,2439792448.02
2021-04-19,0.9982,0.9995,0.9979,0.9992,1832084960.73
2021-04-20,0.9993,0.9999,0.9984,0.9991,2135800489.51
2021-04-21,0.999,0.9998,0.999,0.9996,1173102120.25
2021-04-22,0.9997,1.0003,0.9988,0.9999,1860037972.45
2021-04-23,0.9999,1.004,0.9987,0.999,2322868711.0
2021-04-24,0.9991,0.9992,0.9987,0.9989,852681118.21
2021-04-25,0.9989,0.9996,0.9986,0.9989,852947863.97
2021-04-26,0.999,0.9994,0.9983,0.9993,1323982221.05
2021-04-27,0.9993,0.9993,0.9986,0.999,1023679827.18
2021-04-28,0.999,0.9997,0.9986,0.9993,1470698172.19
2021-04-29,0.9993,0.9998,0.9989,0.9995,1745763668.84
2021-04-30,0.9995,0.9996,0.9988,0.999,1403195615.42
2021-05-01,0.9989,0.9995,0.9986,0.9991,1418167143.84
2021-05-02,0.9991,0.9997,0.9989,0.9993,1175502088.47
2021-05-03,0.9994,0.9997,0.9988,0.9992,1451578320.03
2021-05-04,0.9992,0.9999,0.9985,0.9994,2541353955.66
2021-05-05,0.9994,1.0,0.9985,0.9985,1843265757.35
2021-05-06,0.9986,0.9994,0.9982,0.9992,1864963702.21
2021-05-07,0.9992,0.9997,0.9984,0.9991,2037258089.61
2021-05-08,0.9991,0.9991,0.9977,0.9985,1888776595.81
2021-05-09,0.9986,1.0029,0.9981,0.999,2945036937.76
2021-05-10,0.999,0.9997,0.9979,0.9989,2383630576.65
2021-05-11,0.9989,0.9995,0.9982,0.9987,1792164199.99
2021-05-12,0.9987,1.0002,0.9981,1.0002,2038513008.08
2021-05-13,1.0002,1.0005,0.9984,0.9999,2993746270.35
2021-05-14,0.9998,0.9999,0.9979,0.9991,2051945893.33
2021-05-15,0.999,0.9997,0.9987,0.9995,1440836582.13
2021-05-16,0.9995,1.0005,0.9992,0.9995,1805286643.91
2021-05-17,0.9995,1.0002,0.9986,0.9997,2039063216.31
2021-05-18,0.9997,0.9999,0.9987,0.9993,1351426235.18
2021-05-19,0.9993,1.0009,0.9883,0.9981,4837335343.68
